time, out0, cell
75.0, 26.0, 1.0
76.0, 26.0, 1.0
77.0, 26.0, 1.0
78.0, 26.0, 1.0
79.0, 27.0, 1.0
80.0, 27.0, 1.0
81.0, 28.0, 1.0
82.0, 28.0, 1.0
83.0, 28.0, 1.0
84.0, 28.0, 1.0
85.0, 29.0, 1.0
86.0, 29.0, 1.0
87.0, 29.0, 1.0
88.0, 28.0, 1.0
89.0, 27.0, 1.0
90.0, 27.0, 1.0
91.0, 27.0, 1.0
92.0, 27.0, 1.0
93.0, 25.0, 1.0
94.0, 25.0, 1.0
95.0, 26.0, 1.0
96.0, 26.0, 1.0
97.0, 26.0, 1.0
98.0, 27.0, 1.0
99.0, 28.0, 1.0
100.0, 28.0, 1.0
101.0, 27.0, 1.0
102.0, 27.0, 1.0
103.0, 27.0, 1.0
104.0, 25.0, 1.0
105.0, 24.0, 1.0
106.0, 25.0, 1.0
107.0, 25.0, 1.0
108.0, 25.0, 1.0
109.0, 25.0, 1.0
110.0, 25.0, 1.0
111.0, 25.0, 1.0
112.0, 25.0, 1.0
113.0, 25.0, 1.0
114.0, 25.0, 1.0
115.0, 25.0, 1.0
116.0, 26.0, 1.0
117.0, 26.0, 1.0
118.0, 26.0, 1.0
119.0, 26.0, 1.0
120.0, 27.0, 1.0
121.0, 28.0, 1.0
122.0, 28.0, 1.0
123.0, 28.0, 1.0
124.0, 29.0, 1.0
125.0, 30.0, 1.0
126.0, 32.0, 1.0
127.0, 32.0, 1.0
128.0, 32.0, 1.0
129.0, 33.0, 1.0
130.0, 35.0, 1.0
131.0, 35.0, 1.0
132.0, 35.0, 1.0
133.0, 35.0, 1.0
134.0, 34.0, 1.0
135.0, 34.0, 1.0
136.0, 34.0, 1.0
137.0, 33.0, 1.0
138.0, 34.0, 1.0
139.0, 35.0, 1.0
140.0, 35.0, 1.0
141.0, 35.0, 1.0
142.0, 35.0, 1.0
143.0, 36.0, 1.0
144.0, 38.0, 1.0
145.0, 38.0, 1.0
146.0, 39.0, 1.0
147.0, 39.0, 1.0
148.0, 39.0, 1.0
149.0, 40.0, 1.0
150.0, 40.0, 1.0
151.0, 40.0, 1.0
152.0, 40.0, 1.0
153.0, 41.0, 1.0
154.0, 42.0, 1.0
155.0, 42.0, 1.0
156.0, 43.0, 1.0
157.0, 43.0, 1.0
158.0, 43.0, 1.0
159.0, 43.0, 1.0
160.0, 44.0, 1.0
161.0, 46.0, 1.0
162.0, 47.0, 1.0
163.0, 47.0, 1.0
164.0, 48.0, 1.0
165.0, 49.0, 1.0
166.0, 51.0, 1.0
167.0, 52.0, 1.0
168.0, 51.0, 1.0
169.0, 51.0, 1.0
170.0, 51.0, 1.0
171.0, 51.0, 1.0
172.0, 53.0, 1.0
173.0, 53.0, 1.0
174.0, 53.0, 1.0
175.0, 53.0, 1.0
176.0, 53.0, 1.0
177.0, 53.0, 1.0
178.0, 53.0, 1.0
179.0, 54.0, 1.0
180.0, 54.0, 1.0
181.0, 55.0, 1.0
182.0, 56.0, 1.0
183.0, 56.0, 1.0
184.0, 57.0, 1.0
185.0, 57.0, 1.0
186.0, 57.0, 1.0
187.0, 56.0, 1.0
188.0, 55.0, 1.0
189.0, 55.0, 1.0
190.0, 55.0, 1.0
191.0, 55.0, 1.0
192.0, 55.0, 1.0
193.0, 55.0, 1.0
194.0, 55.0, 1.0
195.0, 54.0, 1.0
196.0, 53.0, 1.0
197.0, 53.0, 1.0
198.0, 52.0, 1.0
199.0, 51.0, 1.0
200.0, 51.0, 1.0
201.0, 51.0, 1.0
202.0, 50.0, 1.0
203.0, 50.0, 1.0
204.0, 50.0, 1.0
205.0, 51.0, 1.0
206.0, 51.0, 1.0
207.0, 52.0, 1.0
208.0, 51.0, 1.0
209.0, 52.0, 1.0
210.0, 53.0, 1.0
211.0, 53.0, 1.0
212.0, 53.0, 1.0
213.0, 53.0, 1.0
214.0, 54.0, 1.0
215.0, 53.0, 1.0
216.0, 54.0, 1.0
217.0, 54.0, 1.0
218.0, 54.0, 1.0
219.0, 54.0, 1.0
220.0, 55.0, 1.0
221.0, 55.0, 1.0
222.0, 55.0, 1.0
223.0, 54.0, 1.0
224.0, 54.0, 1.0
225.0, 54.0, 1.0
226.0, 54.0, 1.0
227.0, 54.0, 1.0
228.0, 56.0, 1.0
229.0, 55.0, 1.0
230.0, 55.0, 1.0
231.0, 55.0, 1.0
232.0, 56.0, 1.0
233.0, 55.0, 1.0
234.0, 55.0, 1.0
235.0, 54.0, 1.0
236.0, 54.0, 1.0
237.0, 54.0, 1.0
238.0, 54.0, 1.0
239.0, 53.0, 1.0
240.0, 53.0, 1.0
241.0, 55.0, 1.0
242.0, 56.0, 1.0
243.0, 55.0, 1.0
244.0, 57.0, 1.0
245.0, 57.0, 1.0
246.0, 58.0, 1.0
247.0, 55.0, 1.0
248.0, 55.0, 1.0
249.0, 57.0, 1.0
250.0, 57.0, 1.0
251.0, 58.0, 1.0
252.0, 58.0, 1.0
253.0, 59.0, 1.0
254.0, 59.0, 1.0
255.0, 62.0, 1.0
256.0, 62.0, 1.0
257.0, 63.0, 1.0
258.0, 64.0, 1.0
259.0, 64.0, 1.0
260.0, 64.0, 1.0
261.0, 64.0, 1.0
262.0, 64.0, 1.0
263.0, 65.0, 1.0
264.0, 64.0, 1.0
265.0, 64.0, 1.0
266.0, 65.0, 1.0
267.0, 65.0, 1.0
268.0, 65.0, 1.0
269.0, 65.0, 1.0
270.0, 65.0, 1.0
271.0, 64.0, 1.0
272.0, 65.0, 1.0
273.0, 64.0, 1.0
274.0, 63.0, 1.0
275.0, 63.0, 1.0
276.0, 62.0, 1.0
277.0, 63.0, 1.0
278.0, 62.0, 1.0
279.0, 62.0, 1.0
280.0, 63.0, 1.0
281.0, 63.0, 1.0
282.0, 63.0, 1.0
283.0, 63.0, 1.0
284.0, 63.0, 1.0
285.0, 64.0, 1.0
286.0, 63.0, 1.0
287.0, 64.0, 1.0
288.0, 65.0, 1.0
289.0, 66.0, 1.0
290.0, 65.0, 1.0
291.0, 65.0, 1.0
292.0, 66.0, 1.0
293.0, 66.0, 1.0
294.0, 66.0, 1.0
295.0, 66.0, 1.0
296.0, 66.0, 1.0
297.0, 67.0, 1.0
298.0, 67.0, 1.0
299.0, 67.0, 1.0
300.0, 67.0, 1.0
301.0, 67.0, 1.0
302.0, 67.0, 1.0
303.0, 68.0, 1.0
304.0, 69.0, 1.0
305.0, 70.0, 1.0
306.0, 70.0, 1.0
307.0, 70.0, 1.0
308.0, 70.0, 1.0
309.0, 70.0, 1.0
310.0, 69.0, 1.0
311.0, 69.0, 1.0
312.0, 72.0, 1.0
313.0, 72.0, 1.0
314.0, 72.0, 1.0
315.0, 69.0, 1.0
316.0, 69.0, 1.0
317.0, 69.0, 1.0
318.0, 69.0, 1.0
319.0, 69.0, 1.0
320.0, 69.0, 1.0
321.0, 69.0, 1.0
322.0, 69.0, 1.0
323.0, 69.0, 1.0
324.0, 70.0, 1.0
325.0, 71.0, 1.0
326.0, 73.0, 1.0
327.0, 74.0, 1.0
328.0, 73.0, 1.0
329.0, 73.0, 1.0
330.0, 73.0, 1.0
331.0, 74.0, 1.0
332.0, 73.0, 1.0
333.0, 73.0, 1.0
334.0, 74.0, 1.0
335.0, 74.0, 1.0
336.0, 74.0, 1.0
337.0, 75.0, 1.0
338.0, 74.0, 1.0
339.0, 74.0, 1.0
340.0, 74.0, 1.0
341.0, 75.0, 1.0
342.0, 75.0, 1.0
343.0, 75.0, 1.0
344.0, 77.0, 1.0
345.0, 77.0, 1.0
346.0, 77.0, 1.0
347.0, 78.0, 1.0
348.0, 79.0, 1.0
349.0, 78.0, 1.0
350.0, 78.0, 1.0
351.0, 78.0, 1.0
352.0, 78.0, 1.0
353.0, 79.0, 1.0
354.0, 79.0, 1.0
355.0, 80.0, 1.0
356.0, 82.0, 1.0
357.0, 82.0, 1.0
358.0, 83.0, 1.0
359.0, 82.0, 1.0
360.0, 83.0, 1.0
361.0, 83.0, 1.0
362.0, 84.0, 1.0
363.0, 83.0, 1.0
364.0, 83.0, 1.0
365.0, 83.0, 1.0
366.0, 82.0, 1.0
367.0, 83.0, 1.0
368.0, 83.0, 1.0
369.0, 83.0, 1.0
370.0, 84.0, 1.0
371.0, 85.0, 1.0
372.0, 86.0, 1.0
373.0, 87.0, 1.0
374.0, 87.0, 1.0
375.0, 87.0, 1.0
376.0, 86.0, 1.0
377.0, 87.0, 1.0
378.0, 88.0, 1.0
379.0, 88.0, 1.0
380.0, 87.0, 1.0
381.0, 87.0, 1.0
382.0, 87.0, 1.0
383.0, 87.0, 1.0
384.0, 87.0, 1.0
385.0, 86.0, 1.0
386.0, 86.0, 1.0
387.0, 86.0, 1.0
388.0, 86.0, 1.0
389.0, 85.0, 1.0
390.0, 85.0, 1.0
391.0, 85.0, 1.0
392.0, 85.0, 1.0
393.0, 85.0, 1.0
394.0, 85.0, 1.0
395.0, 85.0, 1.0
396.0, 86.0, 1.0
397.0, 86.0, 1.0
398.0, 86.0, 1.0
399.0, 86.0, 1.0
400.0, 86.0, 1.0
401.0, 86.0, 1.0
402.0, 86.0, 1.0
403.0, 88.0, 1.0
404.0, 88.0, 1.0
405.0, 87.0, 1.0
406.0, 87.0, 1.0
407.0, 86.0, 1.0
408.0, 85.0, 1.0
409.0, 85.0, 1.0
410.0, 82.0, 1.0
411.0, 82.0, 1.0
412.0, 80.0, 1.0
413.0, 81.0, 1.0
414.0, 82.0, 1.0
415.0, 82.0, 1.0
416.0, 81.0, 1.0
417.0, 81.0, 1.0
418.0, 81.0, 1.0
419.0, 79.0, 1.0
420.0, 79.0, 1.0
421.0, 79.0, 1.0
422.0, 79.0, 1.0
423.0, 80.0, 1.0
424.0, 81.0, 1.0
425.0, 81.0, 1.0
426.0, 81.0, 1.0
427.0, 82.0, 1.0
428.0, 82.0, 1.0
429.0, 83.0, 1.0
430.0, 83.0, 1.0
431.0, 82.0, 1.0
432.0, 83.0, 1.0
433.0, 81.0, 1.0
434.0, 81.0, 1.0
435.0, 81.0, 1.0
436.0, 81.0, 1.0
437.0, 80.0, 1.0
438.0, 80.0, 1.0
439.0, 79.0, 1.0
440.0, 80.0, 1.0
441.0, 79.0, 1.0
442.0, 78.0, 1.0
443.0, 80.0, 1.0
444.0, 81.0, 1.0
445.0, 83.0, 1.0
446.0, 83.0, 1.0
447.0, 84.0, 1.0
448.0, 84.0, 1.0
449.0, 84.0, 1.0
450.0, 84.0, 1.0
451.0, 85.0, 1.0
452.0, 85.0, 1.0
453.0, 85.0, 1.0
454.0, 85.0, 1.0
455.0, 85.0, 1.0
456.0, 84.0, 1.0
457.0, 84.0, 1.0
458.0, 84.0, 1.0
459.0, 84.0, 1.0
460.0, 84.0, 1.0
461.0, 83.0, 1.0
462.0, 83.0, 1.0
463.0, 83.0, 1.0
464.0, 82.0, 1.0
465.0, 82.0, 1.0
466.0, 82.0, 1.0
467.0, 82.0, 1.0
468.0, 82.0, 1.0
469.0, 81.0, 1.0
470.0, 82.0, 1.0
471.0, 83.0, 1.0
472.0, 82.0, 1.0
473.0, 82.0, 1.0
474.0, 82.0, 1.0
475.0, 81.0, 1.0
476.0, 81.0, 1.0
477.0, 80.0, 1.0
478.0, 79.0, 1.0
479.0, 78.0, 1.0
480.0, 76.0, 1.0
481.0, 76.0, 1.0
482.0, 74.0, 1.0
483.0, 74.0, 1.0
484.0, 74.0, 1.0
485.0, 75.0, 1.0
486.0, 75.0, 1.0
487.0, 75.0, 1.0
488.0, 76.0, 1.0
489.0, 76.0, 1.0
490.0, 75.0, 1.0
491.0, 75.0, 1.0
492.0, 75.0, 1.0
493.0, 74.0, 1.0
494.0, 74.0, 1.0
495.0, 75.0, 1.0
496.0, 75.0, 1.0
497.0, 75.0, 1.0
498.0, 75.0, 1.0
499.0, 75.0, 1.0
500.0, 77.0, 1.0
501.0, 77.0, 1.0
502.0, 76.0, 1.0
503.0, 77.0, 1.0
504.0, 77.0, 1.0
505.0, 79.0, 1.0
506.0, 78.0, 1.0
507.0, 77.0, 1.0
508.0, 76.0, 1.0
509.0, 75.0, 1.0
510.0, 75.0, 1.0
511.0, 74.0, 1.0
512.0, 75.0, 1.0
513.0, 74.0, 1.0
514.0, 73.0, 1.0
515.0, 72.0, 1.0
516.0, 72.0, 1.0
517.0, 72.0, 1.0
518.0, 73.0, 1.0
519.0, 72.0, 1.0
520.0, 71.0, 1.0
521.0, 70.0, 1.0
522.0, 70.0, 1.0
523.0, 70.0, 1.0
524.0, 70.0, 1.0
525.0, 70.0, 1.0
526.0, 69.0, 1.0
527.0, 71.0, 1.0
528.0, 71.0, 1.0
529.0, 70.0, 1.0
530.0, 70.0, 1.0
531.0, 70.0, 1.0
532.0, 71.0, 1.0
533.0, 72.0, 1.0
534.0, 74.0, 1.0
535.0, 75.0, 1.0
536.0, 75.0, 1.0
537.0, 76.0, 1.0
538.0, 76.0, 1.0
539.0, 76.0, 1.0
540.0, 75.0, 1.0
541.0, 74.0, 1.0
542.0, 74.0, 1.0
543.0, 73.0, 1.0
544.0, 74.0, 1.0
545.0, 74.0, 1.0
546.0, 74.0, 1.0
547.0, 75.0, 1.0
548.0, 76.0, 1.0
549.0, 77.0, 1.0
550.0, 76.0, 1.0
551.0, 75.0, 1.0
552.0, 74.0, 1.0
553.0, 74.0, 1.0
554.0, 73.0, 1.0
555.0, 73.0, 1.0
556.0, 73.0, 1.0
557.0, 73.0, 1.0
558.0, 73.0, 1.0
559.0, 72.0, 1.0
560.0, 74.0, 1.0
561.0, 74.0, 1.0
562.0, 74.0, 1.0
563.0, 75.0, 1.0
564.0, 75.0, 1.0
565.0, 76.0, 1.0
566.0, 77.0, 1.0
567.0, 77.0, 1.0
568.0, 77.0, 1.0
569.0, 77.0, 1.0
570.0, 77.0, 1.0
571.0, 77.0, 1.0
572.0, 79.0, 1.0
573.0, 79.0, 1.0
574.0, 78.0, 1.0
575.0, 76.0, 1.0
576.0, 76.0, 1.0
577.0, 76.0, 1.0
578.0, 74.0, 1.0
579.0, 74.0, 1.0
580.0, 75.0, 1.0
581.0, 75.0, 1.0
582.0, 75.0, 1.0
583.0, 75.0, 1.0
584.0, 76.0, 1.0
585.0, 76.0, 1.0
586.0, 75.0, 1.0
587.0, 74.0, 1.0
588.0, 73.0, 1.0
589.0, 74.0, 1.0
590.0, 74.0, 1.0
591.0, 74.0, 1.0
592.0, 74.0, 1.0
593.0, 74.0, 1.0
594.0, 75.0, 1.0
595.0, 75.0, 1.0
596.0, 76.0, 1.0
597.0, 76.0, 1.0
598.0, 74.0, 1.0
599.0, 75.0, 1.0
600.0, 75.0, 1.0
601.0, 75.0, 1.0
602.0, 74.0, 1.0
603.0, 73.0, 1.0
604.0, 74.0, 1.0
605.0, 74.0, 1.0
606.0, 74.0, 1.0
607.0, 74.0, 1.0
608.0, 73.0, 1.0
609.0, 73.0, 1.0
610.0, 73.0, 1.0
611.0, 73.0, 1.0
612.0, 73.0, 1.0
613.0, 72.0, 1.0
614.0, 72.0, 1.0
615.0, 72.0, 1.0
616.0, 72.0, 1.0
617.0, 71.0, 1.0
618.0, 71.0, 1.0
619.0, 71.0, 1.0
620.0, 72.0, 1.0
621.0, 72.0, 1.0
622.0, 71.0, 1.0
623.0, 71.0, 1.0
624.0, 71.0, 1.0
625.0, 71.0, 1.0
626.0, 72.0, 1.0
627.0, 74.0, 1.0
628.0, 74.0, 1.0
629.0, 76.0, 1.0
630.0, 77.0, 1.0
631.0, 78.0, 1.0
632.0, 79.0, 1.0
633.0, 79.0, 1.0
634.0, 81.0, 1.0
635.0, 80.0, 1.0
636.0, 80.0, 1.0
637.0, 81.0, 1.0
638.0, 80.0, 1.0
639.0, 79.0, 1.0
640.0, 79.0, 1.0
641.0, 80.0, 1.0
642.0, 82.0, 1.0
643.0, 83.0, 1.0
644.0, 82.0, 1.0
645.0, 83.0, 1.0
646.0, 84.0, 1.0
647.0, 84.0, 1.0
648.0, 85.0, 1.0
649.0, 84.0, 1.0
650.0, 84.0, 1.0
651.0, 85.0, 1.0
652.0, 86.0, 1.0
653.0, 85.0, 1.0
654.0, 86.0, 1.0
655.0, 86.0, 1.0
656.0, 86.0, 1.0
657.0, 85.0, 1.0
658.0, 85.0, 1.0
659.0, 85.0, 1.0
660.0, 87.0, 1.0
661.0, 87.0, 1.0
662.0, 87.0, 1.0
663.0, 88.0, 1.0
664.0, 88.0, 1.0
665.0, 88.0, 1.0
666.0, 88.0, 1.0
667.0, 88.0, 1.0
668.0, 88.0, 1.0
669.0, 87.0, 1.0
670.0, 87.0, 1.0
671.0, 88.0, 1.0
672.0, 88.0, 1.0
673.0, 90.0, 1.0
674.0, 90.0, 1.0
675.0, 90.0, 1.0
676.0, 91.0, 1.0
677.0, 91.0, 1.0
678.0, 91.0, 1.0
679.0, 91.0, 1.0
680.0, 91.0, 1.0
681.0, 91.0, 1.0
682.0, 91.0, 1.0
683.0, 93.0, 1.0
684.0, 93.0, 1.0
685.0, 93.0, 1.0
686.0, 93.0, 1.0
687.0, 91.0, 1.0
688.0, 90.0, 1.0
689.0, 91.0, 1.0
690.0, 90.0, 1.0
691.0, 89.0, 1.0
692.0, 90.0, 1.0
693.0, 91.0, 1.0
694.0, 91.0, 1.0
695.0, 91.0, 1.0
696.0, 91.0, 1.0
697.0, 91.0, 1.0
698.0, 91.0, 1.0
699.0, 90.0, 1.0
700.0, 88.0, 1.0
701.0, 88.0, 1.0
702.0, 87.0, 1.0
703.0, 86.0, 1.0
704.0, 86.0, 1.0
705.0, 86.0, 1.0
706.0, 85.0, 1.0
707.0, 84.0, 1.0
708.0, 84.0, 1.0
709.0, 84.0, 1.0
710.0, 85.0, 1.0
711.0, 85.0, 1.0
712.0, 85.0, 1.0
713.0, 85.0, 1.0
714.0, 85.0, 1.0
715.0, 85.0, 1.0
716.0, 85.0, 1.0
717.0, 85.0, 1.0
718.0, 84.0, 1.0
719.0, 84.0, 1.0
720.0, 84.0, 1.0
721.0, 82.0, 1.0
722.0, 82.0, 1.0
723.0, 81.0, 1.0
724.0, 81.0, 1.0
725.0, 81.0, 1.0
726.0, 82.0, 1.0
727.0, 81.0, 1.0
728.0, 80.0, 1.0
729.0, 78.0, 1.0
730.0, 77.0, 1.0
731.0, 77.0, 1.0
732.0, 77.0, 1.0
733.0, 77.0, 1.0
734.0, 77.0, 1.0
735.0, 77.0, 1.0
736.0, 77.0, 1.0
737.0, 77.0, 1.0
738.0, 77.0, 1.0
739.0, 78.0, 1.0
740.0, 79.0, 1.0
741.0, 79.0, 1.0
742.0, 77.0, 1.0
743.0, 76.0, 1.0
744.0, 76.0, 1.0
745.0, 75.0, 1.0
746.0, 75.0, 1.0
747.0, 75.0, 1.0
748.0, 74.0, 1.0
749.0, 74.0, 1.0
750.0, 73.0, 1.0
751.0, 73.0, 1.0
752.0, 73.0, 1.0
753.0, 73.0, 1.0
754.0, 74.0, 1.0
755.0, 73.0, 1.0
756.0, 72.0, 1.0
757.0, 73.0, 1.0
758.0, 75.0, 1.0
759.0, 75.0, 1.0
760.0, 76.0, 1.0
761.0, 77.0, 1.0
762.0, 77.0, 1.0
763.0, 77.0, 1.0
764.0, 76.0, 1.0
765.0, 76.0, 1.0
766.0, 76.0, 1.0
767.0, 76.0, 1.0
768.0, 77.0, 1.0
769.0, 77.0, 1.0
770.0, 77.0, 1.0
771.0, 80.0, 1.0
772.0, 80.0, 1.0
773.0, 81.0, 1.0
774.0, 81.0, 1.0
775.0, 81.0, 1.0
776.0, 81.0, 1.0
777.0, 82.0, 1.0
778.0, 82.0, 1.0
779.0, 83.0, 1.0
780.0, 83.0, 1.0
781.0, 83.0, 1.0
782.0, 84.0, 1.0
783.0, 84.0, 1.0
784.0, 84.0, 1.0
785.0, 84.0, 1.0
786.0, 85.0, 1.0
787.0, 85.0, 1.0
788.0, 85.0, 1.0
789.0, 85.0, 1.0
790.0, 85.0, 1.0
791.0, 84.0, 1.0
792.0, 84.0, 1.0
793.0, 84.0, 1.0
794.0, 83.0, 1.0
795.0, 82.0, 1.0
796.0, 82.0, 1.0
797.0, 82.0, 1.0
798.0, 83.0, 1.0
799.0, 84.0, 1.0
800.0, 84.0, 1.0
801.0, 84.0, 1.0
802.0, 85.0, 1.0
803.0, 86.0, 1.0
804.0, 86.0, 1.0
805.0, 87.0, 1.0
806.0, 87.0, 1.0
807.0, 86.0, 1.0
808.0, 86.0, 1.0
809.0, 86.0, 1.0
810.0, 86.0, 1.0
811.0, 88.0, 1.0
812.0, 88.0, 1.0
813.0, 89.0, 1.0
814.0, 89.0, 1.0
815.0, 90.0, 1.0
816.0, 90.0, 1.0
817.0, 90.0, 1.0
818.0, 90.0, 1.0
819.0, 90.0, 1.0
820.0, 91.0, 1.0
821.0, 92.0, 1.0
822.0, 91.0, 1.0
823.0, 91.0, 1.0
824.0, 90.0, 1.0
825.0, 90.0, 1.0
826.0, 90.0, 1.0
827.0, 90.0, 1.0
828.0, 90.0, 1.0
829.0, 89.0, 1.0
830.0, 89.0, 1.0
831.0, 90.0, 1.0
832.0, 90.0, 1.0
833.0, 89.0, 1.0
834.0, 88.0, 1.0
835.0, 88.0, 1.0
836.0, 88.0, 1.0
837.0, 88.0, 1.0
838.0, 88.0, 1.0
839.0, 88.0, 1.0
840.0, 86.0, 1.0
841.0, 85.0, 1.0
842.0, 85.0, 1.0
843.0, 85.0, 1.0
844.0, 85.0, 1.0
845.0, 86.0, 1.0
846.0, 86.0, 1.0
847.0, 86.0, 1.0
848.0, 86.0, 1.0
849.0, 86.0, 1.0
850.0, 87.0, 1.0
851.0, 85.0, 1.0
852.0, 86.0, 1.0
853.0, 86.0, 1.0
854.0, 87.0, 1.0
855.0, 87.0, 1.0
856.0, 90.0, 1.0
857.0, 89.0, 1.0
858.0, 89.0, 1.0
859.0, 89.0, 1.0
860.0, 89.0, 1.0
861.0, 90.0, 1.0
862.0, 90.0, 1.0
863.0, 89.0, 1.0
864.0, 90.0, 1.0
865.0, 90.0, 1.0
866.0, 88.0, 1.0
867.0, 88.0, 1.0
868.0, 88.0, 1.0
869.0, 88.0, 1.0
870.0, 88.0, 1.0
871.0, 88.0, 1.0
872.0, 89.0, 1.0
873.0, 90.0, 1.0
874.0, 91.0, 1.0
875.0, 89.0, 1.0
876.0, 88.0, 1.0
877.0, 88.0, 1.0
878.0, 88.0, 1.0
879.0, 87.0, 1.0
880.0, 87.0, 1.0
881.0, 87.0, 1.0
882.0, 88.0, 1.0
883.0, 89.0, 1.0
884.0, 89.0, 1.0
885.0, 89.0, 1.0
886.0, 89.0, 1.0
887.0, 89.0, 1.0
888.0, 87.0, 1.0
889.0, 87.0, 1.0
890.0, 89.0, 1.0
891.0, 89.0, 1.0
892.0, 89.0, 1.0
893.0, 90.0, 1.0
894.0, 90.0, 1.0
895.0, 90.0, 1.0
896.0, 90.0, 1.0
897.0, 89.0, 1.0
898.0, 89.0, 1.0
899.0, 89.0, 1.0
900.0, 89.0, 1.0
901.0, 88.0, 1.0
902.0, 89.0, 1.0
903.0, 89.0, 1.0
904.0, 89.0, 1.0
905.0, 90.0, 1.0
906.0, 89.0, 1.0
907.0, 90.0, 1.0
908.0, 89.0, 1.0
909.0, 88.0, 1.0
910.0, 88.0, 1.0
911.0, 89.0, 1.0
912.0, 88.0, 1.0
913.0, 88.0, 1.0
914.0, 88.0, 1.0
915.0, 86.0, 1.0
916.0, 86.0, 1.0
917.0, 86.0, 1.0
918.0, 86.0, 1.0
919.0, 84.0, 1.0
920.0, 84.0, 1.0
921.0, 84.0, 1.0
922.0, 84.0, 1.0
923.0, 84.0, 1.0
924.0, 83.0, 1.0
925.0, 83.0, 1.0
926.0, 87.0, 1.0
927.0, 86.0, 1.0
928.0, 86.0, 1.0
929.0, 86.0, 1.0
930.0, 84.0, 1.0
931.0, 86.0, 1.0
932.0, 87.0, 1.0
933.0, 85.0, 1.0
934.0, 85.0, 1.0
935.0, 85.0, 1.0
936.0, 85.0, 1.0
937.0, 85.0, 1.0
938.0, 86.0, 1.0
939.0, 87.0, 1.0
940.0, 87.0, 1.0
941.0, 88.0, 1.0
942.0, 87.0, 1.0
943.0, 87.0, 1.0
944.0, 90.0, 1.0
945.0, 90.0, 1.0
946.0, 90.0, 1.0
947.0, 88.0, 1.0
948.0, 89.0, 1.0
949.0, 89.0, 1.0
950.0, 89.0, 1.0
951.0, 92.0, 1.0
952.0, 94.0, 1.0
953.0, 96.0, 1.0
954.0, 96.0, 1.0
955.0, 96.0, 1.0
956.0, 94.0, 1.0
957.0, 95.0, 1.0
958.0, 95.0, 1.0
959.0, 95.0, 1.0
960.0, 95.0, 1.0
961.0, 95.0, 1.0
962.0, 95.0, 1.0
963.0, 96.0, 1.0
964.0, 95.0, 1.0
965.0, 96.0, 1.0
966.0, 96.0, 1.0
967.0, 96.0, 1.0
968.0, 96.0, 1.0
969.0, 95.0, 1.0
970.0, 95.0, 1.0
971.0, 95.0, 1.0
972.0, 94.0, 1.0
973.0, 96.0, 1.0
974.0, 98.0, 1.0
975.0, 99.0, 1.0
976.0, 99.0, 1.0
977.0, 99.0, 1.0
978.0, 100.0, 1.0
979.0, 100.0, 1.0
980.0, 99.0, 1.0
981.0, 98.0, 1.0
982.0, 98.0, 1.0
983.0, 98.0, 1.0
984.0, 96.0, 1.0
985.0, 96.0, 1.0
986.0, 96.0, 1.0
987.0, 97.0, 1.0
988.0, 97.0, 1.0
989.0, 98.0, 1.0
990.0, 99.0, 1.0
991.0, 98.0, 1.0
992.0, 98.0, 1.0
993.0, 98.0, 1.0
994.0, 97.0, 1.0
995.0, 98.0, 1.0
996.0, 97.0, 1.0
997.0, 97.0, 1.0
